circuit;area;power;timing;ssim;compression
copyA_6_LOBA0_4;17675.551;628.960;2334.923;0.966176;0.460
copyA_6_LOBA1_4;17670.881;629.127;2332.785;0.960100;0.458
copyA_6_LOBA2_4;63683.002;2352.270;26542.648;0.951346;0.789
copyA_6_LOBA3_4;0.0000;0.0000;0.0000;0.949309;0.804
copyA_7_LOBA0_4;17675.551;628.960;2334.923;0.966176;0.460
copyA_7_LOBA1_4;17670.881;629.127;2332.785;0.960103;0.457
copyA_7_LOBA2_4;62537.368;2309.940;25556.393;0.951565;0.788
copyA_7_LOBA3_4;0.0000;0.0000;0.0000;0.949752;0.805
copyA_8_LOBA0_4;17675.551;628.960;2334.923;0.966176;0.460
copyA_8_LOBA1_4;17670.881;629.127;2332.785;0.960083;0.458
copyA_8_LOBA2_4;60594.143;2227.580;27284.465;0.951780;0.788
copyA_8_LOBA3_4;0.0000;0.0000;0.0000;0.949703;0.803
copyA_9_LOBA0_4;17675.551;628.960;2334.923;0.966176;0.460
copyA_9_LOBA1_4;17670.881;629.127;2332.785;0.960077;0.457
copyA_9_LOBA2_4;59289.010;2175.440;27051.914;0.951204;0.790
copyA_9_LOBA3_4;0.0000;0.0000;0.0000;0.949590;0.803
copyA_10_LOBA0_4;17675.551;628.960;2334.923;0.966187;0.459
copyA_10_LOBA1_4;17670.881;629.127;2332.785;0.960056;0.457
copyA_10_LOBA2_4;56229.593;2052.110;27063.400;0.950659;0.793
copyA_10_LOBA3_4;0.0000;0.0000;0.0000;0.949259;0.803
copyA_11_LOBA0_4;17675.551;628.960;2334.923;0.966163;0.459
copyA_11_LOBA1_4;17670.881;629.127;2332.785;0.960277;0.453
copyA_11_LOBA2_4;55224.041;2013.030;25699.697;0.951457;0.797
copyA_11_LOBA3_4;0.0000;0.0000;0.0000;0.949182;0.805
copyA_12_LOBA0_4;17675.551;628.960;2334.923;0.966198;0.460
copyA_12_LOBA1_4;17670.881;629.127;2332.785;0.960794;0.475
copyA_12_LOBA2_4;54293.348;1975.870;24919.846;0.950151;0.801
copyA_12_LOBA3_4;0.0000;0.0000;0.0000;0.948627;0.812
copyA_13_LOBA0_4;17675.551;628.960;2334.923;0.966598;0.468
copyA_13_LOBA1_4;17670.881;629.127;2332.785;0.960753;0.505
copyA_13_LOBA2_4;0.0000;0.0000;0.0000;0.943419;0.817
copyA_13_LOBA3_4;0.0000;0.0000;0.0000;0.941588;0.826
copyA_14_LOBA0_4;17675.551;628.960;2334.923;0.963033;0.532
copyA_14_LOBA1_4;17670.881;629.127;2332.785;0.957962;0.530
copyA_14_LOBA2_4;0.0000;0.0000;0.0000;0.934567;0.812
copyA_14_LOBA3_4;0.0000;0.0000;0.0000;0.933362;0.814
copyA_15_LOBA0_4;0.0000;0.0000;0.0000;0.944515;0.616
copyA_15_LOBA1_4;0.0000;0.0000;0.0000;0.934519;0.630
copyA_15_LOBA2_4;0.0000;0.0000;0.0000;0.918375;0.851
copyA_15_LOBA3_4;0.0000;0.0000;0.0000;0.914540;0.868
copyB_6_LOBA0_4;17668.473;628.818;2340.077;0.966176;0.460
copyB_6_LOBA1_4;17671.078;629.035;2332.062;0.960100;0.458
copyB_6_LOBA2_4;62628.594;2314.860;25680.701;0.951338;0.788
copyB_6_LOBA3_4;0.0000;0.0000;0.0000;0.949644;0.805
copyB_7_LOBA0_4;17668.473;628.818;2340.077;0.966176;0.460
copyB_7_LOBA1_4;17671.078;629.035;2332.062;0.960103;0.457
copyB_7_LOBA2_4;61367.992;2268.990;25468.816;0.951494;0.788
copyB_7_LOBA3_4;0.0000;0.0000;0.0000;0.949787;0.805
copyB_8_LOBA0_4;17668.473;628.818;2340.077;0.966176;0.460
copyB_8_LOBA1_4;17671.078;629.035;2332.062;0.960083;0.458
copyB_8_LOBA2_4;59126.071;2175.220;23228.473;0.951671;0.788
copyB_8_LOBA3_4;0.0000;0.0000;0.0000;0.949788;0.801
copyB_9_LOBA0_4;17668.473;628.818;2340.077;0.966176;0.460
copyB_9_LOBA1_4;17671.078;629.035;2332.062;0.960077;0.457
copyB_9_LOBA2_4;57660.260;2119.470;22328.633;0.951288;0.790
copyB_9_LOBA3_4;0.0000;0.0000;0.0000;0.949532;0.802
copyB_10_LOBA0_4;17668.473;628.818;2340.077;0.966147;0.460
copyB_10_LOBA1_4;17671.078;629.035;2332.062;0.960063;0.458
copyB_10_LOBA2_4;54395.339;1984.410;20380.131;0.951057;0.792
copyB_10_LOBA3_4;0.0000;0.0000;0.0000;0.949656;0.802
copyB_11_LOBA0_4;17668.473;628.818;2340.077;0.966166;0.459
copyB_11_LOBA1_4;17671.078;629.035;2332.062;0.960308;0.455
copyB_11_LOBA2_4;53448.720;1946.980;19627.408;0.951406;0.795
copyB_11_LOBA3_4;0.0000;0.0000;0.0000;0.949358;0.802
copyB_12_LOBA0_4;17668.473;628.818;2340.077;0.966308;0.460
copyB_12_LOBA1_4;17671.078;629.035;2332.062;0.960814;0.474
copyB_12_LOBA2_4;0.0000;0.0000;0.0000;0.949910;0.803
copyB_12_LOBA3_4;0.0000;0.0000;0.0000;0.948399;0.812
copyB_13_LOBA0_4;17668.473;628.818;2340.077;0.966821;0.473
copyB_13_LOBA1_4;17671.078;629.035;2332.062;0.960808;0.502
copyB_13_LOBA2_4;0.0000;0.0000;0.0000;0.944453;0.818
copyB_13_LOBA3_4;0.0000;0.0000;0.0000;0.942268;0.825
copyB_14_LOBA0_4;17668.473;628.818;2340.077;0.964001;0.535
copyB_14_LOBA1_4;17671.078;629.035;2332.062;0.958741;0.543
copyB_14_LOBA2_4;0.0000;0.0000;0.0000;0.937410;0.813
copyB_14_LOBA3_4;0.0000;0.0000;0.0000;0.936295;0.844
copyB_15_LOBA0_4;0.0000;0.0000;0.0000;0.944494;0.621
copyB_15_LOBA1_4;0.0000;0.0000;0.0000;0.936710;0.668
copyB_15_LOBA2_4;0.0000;0.0000;0.0000;0.919911;0.869
copyB_15_LOBA3_4;0.0000;0.0000;0.0000;0.919666;0.880
eta1_6_LOBA0_4;17678.549;629.759;2336.556;0.966176;0.460
eta1_6_LOBA1_4;62617.141;2307.300;27231.234;0.960100;0.458
eta1_6_LOBA2_4;17659.822;629.583;2348.421;0.951420;0.788
eta1_6_LOBA3_4;0.0000;0.0000;0.0000;0.949698;0.821
eta1_7_LOBA0_4;17672.307;629.168;2333.119;0.966176;0.460
eta1_7_LOBA1_4;61430.317;2262.350;25227.918;0.960103;0.457
eta1_7_LOBA2_4;62625.153;2312.100;25547.775;0.951476;0.804
