circuit;area;power;timing;ssim;compression
;0.0000;0.0000;0.0000;0.999502;0.385
eta1_9_LOBA2_4;0.0000;0.0000;0.0000;0.502488;0.802
eta1_6_LOBA2_4;0.0000;0.0000;0.0000;0.565313;0.802
eta1_8_LOBA2_4;0.0000;0.0000;0.0000;0.494491;0.802
loa_8_LOBA2_4;0.0000;0.0000;0.0000;0.494491;0.802
loa_13_LOBA0_4;0.0000;0.0000;0.0000;0.966414;0.425
copyB_13_LOBA0_4;0.0000;0.0000;0.0000;0.966444;0.427
trunc0_13_LOBA0_4;0.0000;0.0000;0.0000;0.966444;0.427
trunc0_13_DRUM_6;0.0000;0.0000;0.0000;0.963922;0.470
copyB_13_DRUM_6;0.0000;0.0000;0.0000;0.963922;0.470
trunc1_13_DRUM_6;0.0000;0.0000;0.0000;0.964103;0.469
copyB_12_DRUM_6;0.0000;0.0000;0.0000;0.971832;0.431
trunc0_12_DRUM_6;0.0000;0.0000;0.0000;0.971832;0.431
;0.0000;0.0000;0.0000;0.999990;0.522
eta1_9_LOBA2_4;0.0000;0.0000;0.0000;0.988824;0.917
eta1_6_LOBA2_4;0.0000;0.0000;0.0000;0.940442;0.917
eta1_8_LOBA2_4;0.0000;0.0000;0.0000;0.988831;0.917
loa_8_LOBA2_4;0.0000;0.0000;0.0000;0.988831;0.917
loa_13_LOBA0_4;0.0000;0.0000;0.0000;0.996836;0.525
copyB_13_LOBA0_4;0.0000;0.0000;0.0000;0.996839;0.527
trunc0_13_LOBA0_4;0.0000;0.0000;0.0000;0.996839;0.527
trunc0_13_DRUM_6;0.0000;0.0000;0.0000;0.996606;0.903
copyB_13_DRUM_6;0.0000;0.0000;0.0000;0.996606;0.903
trunc1_13_DRUM_6;0.0000;0.0000;0.0000;0.996650;0.901
copyB_12_DRUM_6;0.0000;0.0000;0.0000;0.998280;0.738
trunc0_12_DRUM_6;0.0000;0.0000;0.0000;0.998280;0.738
trunc1_12_DRUM_6;0.0000;0.0000;0.0000;0.998285;0.738
copyB_11_DRUM_6;0.0000;0.0000;0.0000;0.998400;0.614
trunc0_11_DRUM_6;0.0000;0.0000;0.0000;0.998400;0.614
copyB_12_DRUM_7;0.0000;0.0000;0.0000;0.998496;0.738
trunc0_12_DRUM_7;0.0000;0.0000;0.0000;0.998496;0.738
trunc1_12_DRUM_7;0.0000;0.0000;0.0000;0.998503;0.738
trunc0_11_DRUM_7;0.0000;0.0000;0.0000;0.998588;0.615
copyB_11_DRUM_7;0.0000;0.0000;0.0000;0.998588;0.615
