circuit;area;power;timing;ssim;compression
copyA_6_DRUM_8;28.459902;33.452556;2.222980;0.986511;0.507
copyA_6_DRUM_7;30.371383;35.786651;-0.781149;0.982752;0.509
copyA_6_DRUM_6;31.974127;37.652674;-0.346423;0.980647;0.511
copyA_6_DRUM_5;34.405678;40.377587;-0.987141;0.953241;0.520
copyA_7_DRUM_8;29.196798;34.080824;-1.249493;0.986519;0.507
copyA_7_DRUM_7;31.116378;36.486908;-4.282606;0.982755;0.509
copyA_7_DRUM_6;32.697927;38.410266;-2.799979;0.981076;0.511
copyA_7_DRUM_5;35.145410;41.023069;-6.990253;0.953240;0.521
copyA_8_DRUM_8;29.930070;34.728725;0.853643;0.986558;0.507
copyA_8_DRUM_7;31.770777;37.121435;-4.581302;0.982798;0.509
copyA_8_DRUM_6;33.396001;39.011929;-2.725770;0.981046;0.512
copyA_8_DRUM_5;35.888358;41.710664;-3.870435;0.953255;0.521
copyA_9_DRUM_8;30.707719;35.458717;-1.175087;0.986588;0.507
copyA_9_DRUM_7;32.630338;37.913741;-2.138695;0.982974;0.509
copyA_9_DRUM_6;34.179350;39.764684;-1.859751;0.981070;0.511
copyA_9_DRUM_5;36.695475;42.427424;-3.592289;0.952678;0.520
copyA_10_DRUM_8;31.453210;36.218016;-0.321972;0.986565;0.506
copyA_10_DRUM_7;33.369545;38.591092;-4.896360;0.983100;0.507
copyA_10_DRUM_6;34.898794;40.586013;-3.480686;0.981096;0.511
copyA_10_DRUM_5;37.585322;43.280764;-4.555228;0.952574;0.520
copyA_11_DRUM_8;32.494576;37.119586;-0.673291;0.986497;0.505
copyA_11_DRUM_7;34.330197;39.473883;-4.862545;0.982775;0.507
copyA_11_DRUM_6;35.858862;41.434090;-4.746028;0.981028;0.510
copyA_11_DRUM_5;38.495868;44.132966;-5.693394;0.952127;0.518
copyA_12_DRUM_8;33.250767;37.873621;-1.457229;0.986042;0.508
copyA_12_DRUM_7;35.126643;40.285395;-5.746007;0.982251;0.509
copyA_12_DRUM_6;36.829190;42.276475;-3.491103;0.980110;0.512
copyA_12_DRUM_5;39.453187;45.010919;-5.396283;0.950947;0.519
