circuit;area;power;timing;ssim;compression
exact;47906.5859;1670.1801;10.5867;0.999349;0.331
copyA_0;0.0000;0.0000;0.0000;0.999348;0.331
copyA_1;0.0000;0.0000;0.0000;0.999348;0.331
copyA_2;0.0000;0.0000;0.0000;0.999348;0.331
copyA_3;0.0000;0.0000;0.0000;0.999347;0.331
copyA_4;0.0000;0.0000;0.0000;0.999348;0.331
copyA_5;0.0000;0.0000;0.0000;0.999348;0.331
copyA_6;0.0000;0.0000;0.0000;0.999348;0.331
copyA_7;0.0000;0.0000;0.0000;0.999348;0.331
copyA_8;0.0000;0.0000;0.0000;0.999341;0.331
copyA_9;0.0000;0.0000;0.0000;0.999336;0.331
copyA_10;0.0000;0.0000;0.0000;0.999324;0.331
copyA_11;0.0000;0.0000;0.0000;0.999314;0.331
copyA_12;0.0000;0.0000;0.0000;0.999202;0.332
copyA_13;0.0000;0.0000;0.0000;0.998793;0.335
copyA_14;0.0000;0.0000;0.0000;0.994257;0.350
copyA_15;0.0000;0.0000;0.0000;0.976430;0.392
copyA_16;0.0000;0.0000;0.0000;0.922252;0.429
copyA_17;0.0000;0.0000;0.0000;0.798852;0.431
copyA_18;0.0000;0.0000;0.0000;0.609959;0.406
copyA_19;0.0000;0.0000;0.0000;0.502445;0.316
copyA_20;0.0000;0.0000;0.0000;0.465381;0.226
copyA_21;0.0000;0.0000;0.0000;0.658822;0.092
copyB_0;0.0000;0.0000;0.0000;0.999348;0.331
copyB_1;0.0000;0.0000;0.0000;0.999348;0.331
copyB_2;0.0000;0.0000;0.0000;0.999348;0.331
copyB_3;0.0000;0.0000;0.0000;0.999347;0.331
copyB_4;0.0000;0.0000;0.0000;0.999348;0.331
copyB_5;0.0000;0.0000;0.0000;0.999348;0.331
copyB_6;0.0000;0.0000;0.0000;0.999348;0.331
copyB_7;0.0000;0.0000;0.0000;0.999348;0.331
copyB_8;0.0000;0.0000;0.0000;0.999341;0.331
copyB_9;0.0000;0.0000;0.0000;0.999336;0.331
copyB_10;0.0000;0.0000;0.0000;0.999324;0.331
copyB_11;0.0000;0.0000;0.0000;0.999314;0.331
copyB_12;0.0000;0.0000;0.0000;0.999202;0.332
copyB_13;0.0000;0.0000;0.0000;0.998793;0.335
copyB_14;0.0000;0.0000;0.0000;0.996578;0.351
copyB_15;0.0000;0.0000;0.0000;0.986300;0.383
copyB_16;0.0000;0.0000;0.0000;0.953196;0.417
copyB_17;0.0000;0.0000;0.0000;0.862210;0.437
copyB_18;0.0000;0.0000;0.0000;0.699707;0.431
copyB_19;0.0000;0.0000;0.0000;0.480657;0.381
copyB_20;0.0000;0.0000;0.0000;0.453324;0.305
copyB_21;0.0000;0.0000;0.0000;0.592203;0.211
eta1_0;0.0000;0.0000;0.0000;0.999348;0.331
eta1_1;0.0000;0.0000;0.0000;0.999348;0.331
eta1_2;0.0000;0.0000;0.0000;0.999348;0.331
eta1_3;0.0000;0.0000;0.0000;0.999347;0.331
eta1_4;0.0000;0.0000;0.0000;0.999348;0.331
eta1_5;0.0000;0.0000;0.0000;0.999348;0.331
eta1_6;0.0000;0.0000;0.0000;0.999348;0.331
eta1_7;0.0000;0.0000;0.0000;0.999348;0.331
eta1_8;0.0000;0.0000;0.0000;0.999341;0.331
eta1_9;0.0000;0.0000;0.0000;0.999336;0.331
eta1_10;0.0000;0.0000;0.0000;0.999324;0.331
eta1_11;0.0000;0.0000;0.0000;0.999314;0.331
eta1_12;0.0000;0.0000;0.0000;0.999202;0.332
eta1_13;0.0000;0.0000;0.0000;0.998793;0.335
eta1_14;0.0000;0.0000;0.0000;0.995755;0.380
eta1_15;0.0000;0.0000;0.0000;0.990109;0.409
eta1_16;0.0000;0.0000;0.0000;0.965958;0.461
eta1_17;0.0000;0.0000;0.0000;0.900296;0.505
eta1_18;0.0000;0.0000;0.0000;0.780548;0.510
eta1_19;0.0000;0.0000;0.0000;0.327743;0.466
eta1_20;0.0000;0.0000;0.0000;0.367311;0.359
eta1_21;0.0000;0.0000;0.0000;0.496236;0.238
loa_0;0.0000;0.0000;0.0000;0.999348;0.331
loa_1;0.0000;0.0000;0.0000;0.999348;0.331
loa_2;0.0000;0.0000;0.0000;0.999348;0.331
loa_3;0.0000;0.0000;0.0000;0.999347;0.331
loa_4;0.0000;0.0000;0.0000;0.999348;0.331
loa_5;0.0000;0.0000;0.0000;0.999348;0.331
loa_6;0.0000;0.0000;0.0000;0.999348;0.331
loa_7;0.0000;0.0000;0.0000;0.999348;0.331
loa_8;0.0000;0.0000;0.0000;0.999341;0.331
loa_9;0.0000;0.0000;0.0000;0.999336;0.331
